trait,wave_feature,beta,pval,r2,correlation,n_overlap
sleepy_accident,lead9_level2_energy,-0.47899761660371815,0.003356735066890461,0.00012882698283744887,-0.011350197480078175,66775
sleepy_accident,lead9_level1_energy,-0.4830329725722113,0.0030990414193622154,0.0001310067537991788,-0.011445818179549637,66775
sleepy_accident,lead10_level6_approx_energy,-0.04135880146664262,0.8000806728432911,9.604527848594557e-07,-0.0009800269310611363,66775
sleepy_accident,lead10_level6_energy,-0.19393242100862718,0.2350434158148308,2.1117425413885726e-05,-0.004595369997547696,66775
sleepy_accident,lead10_level5_energy,-0.09257647576511613,0.5708144126608673,4.8121750662044604e-06,-0.002193667036161999,66775
sleepy_accident,lead10_level4_energy,-0.00037999181269432063,0.9981435519835197,8.10727041056225e-11,-9.004182829699602e-06,66775
sleepy_accident,lead10_level3_energy,-0.059321562791551714,0.7164330969843127,1.9759015323916884e-06,-0.0014056676467098272,66775
sleepy_accident,lead10_level2_energy,-0.17825162652946702,0.27507439432243785,1.7840504592969708e-05,-0.004223802148745151,66775
sleepy_accident,lead10_level1_energy,-0.1588214736940366,0.3308129628064427,1.4163108222331466e-05,-0.00376339052224495,66775
sleepy_accident,lead11_level6_approx_energy,-0.18299110508802177,0.26251279138602823,1.8801828651326957e-05,-0.004336107545948618,66775
sleepy_accident,lead11_level6_energy,-0.10067769243680649,0.5375929752418978,5.691236542593181e-06,-0.002385631267016728,66775
sleepy_accident,lead11_level5_energy,-0.06179795761602029,0.705138573632764,2.1443139703869463e-06,-0.001464347626154524,66775
sleepy_accident,lead11_level4_energy,0.11205218520688363,0.4926475005114327,7.049864853336807e-06,0.0026551581596378016,66775
sleepy_accident,lead11_level3_energy,-0.021671421670858792,0.8944341729628504,2.637029185015294e-07,-0.000513520124342898,66775
sleepy_accident,lead11_level2_energy,-0.19141505748999485,0.24117581626523824,2.057274897793171e-05,-0.004535719235048684,66775
sleepy_accident,lead11_level1_energy,-0.19351683125488559,0.2360481285824665,2.1027014723062898e-05,-0.00458552229557139,66775
sleepy_accident,lead12_level6_approx_energy,-0.15404708134136916,0.3455563861245863,1.332438213175191e-05,-0.0036502578172549404,66775
sleepy_accident,lead12_level6_energy,-0.1676956922154611,0.3045072503809501,1.579006594498722e-05,-0.003973671595068898,66775
sleepy_accident,lead12_level5_energy,0.007109605331574966,0.9652769962179835,2.8381222594298094e-08,0.0001684672777517152,66775
sleepy_accident,lead12_level4_energy,-0.048687376809593154,0.7656145679131763,1.3309841484510088e-06,-0.001153682862754302,66775
sleepy_accident,lead12_level3_energy,-0.08752108654472444,0.5920291191806409,4.300961271797021e-06,-0.0020738759056821506,66775
sleepy_accident,lead12_level2_energy,-0.18459594767850293,0.2583504961900308,1.9133061023746123e-05,-0.004374135460274277,66775
sleepy_accident,lead12_level1_energy,-0.16560519341769742,0.3105754517125765,1.539884101742217e-05,-0.003924135703106156,66775
lightexp_winter,lead1_level6_approx_energy,0.056016715135876326,0.6795435173612735,2.5555419593814577e-06,0.0015986062557302018,66775
lightexp_winter,lead1_level6_energy,-0.10576919582083291,0.43540326753376013,9.111002068351581e-06,-0.0030184436501248272,66775
lightexp_winter,lead1_level5_energy,-0.17633023542074383,0.19348928205124272,2.5322193040633323e-05,-0.005032116159154219,66775
lightexp_winter,lead1_level4_energy,-0.14538479441218013,0.2836659742122403,1.7214155187517122e-05,-0.004148994479087379,66775
lightexp_winter,lead1_level3_energy,-0.042312546843723896,0.7550200922905248,1.4580958521692722e-06,-0.0012075163978498662,66775
