trait	wave_feature	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	rg2
act_out_dreams	lead9_level2_energy	-0.1198	0.1026	-1.1674	0.2431	0.1057	0.018	0.9947	0.0093	0.0024	0.0073	0.014352040000000002
act_out_dreams	lead9_level3_energy	-0.0597	0.0847	-0.7049	0.4809	0.1524	0.0214	0.9874	0.0106	0.0042	0.0067	0.0035640900000000002
act_out_dreams	lead9_level4_energy	-0.0868	0.0876	-0.9912	0.3216	0.144	0.0205	0.9874	0.0099	0.0052	0.0067	0.00753424
act_out_dreams	lead9_level5_energy	-0.1025	0.0902	-1.1371	0.2555	0.1396	0.0191	0.9905	0.0099	0.0044	0.0073	0.010506249999999998
act_out_dreams	lead9_level6_approx_energy	-0.0948	0.0951	-0.9975	0.3185	0.1197	0.0159	0.9918	0.0089	0.0013	0.0071	0.00898704
act_out_dreams	lead9_level6_energy	-0.121	0.1019	-1.1878	0.2349	0.1098	0.0165	0.9907	0.0097	0.0047	0.0074	0.014641
alcohol_freq	lead10_level1_energy	0.0287	0.152	0.189	0.8501	0.0414	0.014	0.9986	0.0086	0.0047	0.0062	0.00082369
alcohol_freq	lead10_level2_energy	-0.0005	0.1109	-0.0041	0.9968	0.0951	0.0188	1.0069	0.0093	0.0054	0.0064	2.5e-07
alcohol_freq	lead10_level3_energy	0.0665	0.0964	0.6905	0.4899	0.1419	0.02	1.0031	0.0093	-0.0014	0.0065	0.004422250000000001
alcohol_freq	lead10_level4_energy	0.1046	0.1044	1.0014	0.3166	0.1287	0.0177	1.0006	0.0089	-0.0032	0.0067	0.01094116
alcohol_freq	lead10_level5_energy	0.08	0.1072	0.7466	0.4553	0.1133	0.0174	1.018	0.009	-0.0017	0.0064	0.0064
alcohol_freq	lead10_level6_approx_energy	-0.0067	0.1111	-0.0606	0.9517	0.0947	0.0176	1.0194	0.0098	-0.003	0.0064	4.4890000000000006e-05
alcohol_freq	lead10_level6_energy	0.0364	0.1029	0.3537	0.7235	0.1184	0.0175	1.0152	0.0101	-0.0056	0.0067	0.00132496
alcohol_freq	lead11_level1_energy	0.1103	0.1712	0.6443	0.5194	0.0289	0.0148	1.0028	0.009	0.0064	0.0065	0.01216609
alcohol_freq	lead11_level2_energy	0.1281	0.1036	1.2359	0.2165	0.1021	0.0173	0.996	0.0087	0.0043	0.0063	0.016409609999999998
alcohol_freq	lead11_level3_energy	0.1117	0.0936	1.1926	0.233	0.1512	0.0193	0.9926	0.0084	-0.003	0.0065	0.01247689
alcohol_freq	lead11_level4_energy	0.139	0.107	1.2994	0.1938	0.1292	0.0182	1.0005	0.0089	-0.004	0.0069	0.019321000000000005
alcohol_freq	lead11_level5_energy	0.061	0.1029	0.593	0.5532	0.1383	0.0181	1.0097	0.0096	0.0004	0.0069	0.003721
alcohol_freq	lead11_level6_approx_energy	-0.0096	0.1098	-0.0876	0.9302	0.1074	0.0187	1.0192	0.0112	0.001	0.0069	9.215999999999998e-05
alcohol_freq	lead11_level6_energy	0.0171	0.0953	0.1796	0.8575	0.1601	0.0194	1.0131	0.0108	-0.0008	0.0072	0.00029241
alcohol_freq	lead12_level1_energy	0.059	0.1622	0.364	0.7159	0.0364	0.014	0.9957	0.0093	0.0044	0.0068	0.0034809999999999997
alcohol_freq	lead12_level2_energy	0.1269	0.1068	1.1877	0.2349	0.0995	0.0174	0.9934	0.0095	0.0009	0.0065	0.016103610000000004
alcohol_freq	lead12_level3_energy	0.1437	0.106	1.3553	0.1753	0.1319	0.0212	1.0043	0.0098	-0.0048	0.0066	0.02064969
alcohol_freq	lead12_level4_energy	0.1665	0.116	1.4351	0.1513	0.1185	0.021	1.0127	0.0101	-0.007	0.0068	0.027722250000000004
alcohol_freq	lead12_level5_energy	0.0825	0.1047	0.7877	0.4309	0.1531	0.0214	1.0139	0.0106	-0.0031	0.007	0.006806250000000001
alcohol_freq	lead12_level6_approx_energy	0.0626	0.1076	0.5813	0.561	0.1261	0.0194	1.0122	0.0116	-0.0043	0.0069	0.00391876
alcohol_freq	lead12_level6_energy	0.0627	0.0964	0.6503	0.5155	0.1711	0.0221	1.0149	0.0112	-0.0047	0.0071	0.0039312900000000005
alcohol_freq	lead1_level1_energy	0.05	0.1278	0.3909	0.6959	0.0695	0.0148	0.9846	0.0092	0.0047	0.0069	0.0025000000000000005
alcohol_freq	lead1_level2_energy	0.02	0.1013	0.1975	0.8434	0.0993	0.0163	0.9898	0.0094	0.0088	0.0062	0.0004
alcohol_freq	lead1_level3_energy	0.005	0.0744	0.0666	0.9469	0.2285	0.0224	0.9757	0.0109	0.0136	0.0066	2.5e-05
